# Liquid He density data from 	
# Donnelly, Russell J. and Barenghi, Carlo F.,
# The Observed Properties of Liquid Helium at the Saturated Vapor Pressure,
# Journal of Physical and Chemical Reference Data,
# Vol 27, Number 6,  pages = 1217-1274, year 1998

# not all values here
# molar mass 4.0026 g/mol
# conversion from g/cm^3 to atoms/A^3 
#
# T   rho at/A^3 rho g/cm^3
0.00  0.0218366 0.1451397
0.50  0.0218363 0.1451377
1.00  0.0218333 0.1451183
1.50  0.0218403 0.1451646
1.55  0.0218432 0.1451837
1.60  0.0218467 0.1452071
1.65  0.0218509 0.1452352
1.70  0.0218559 0.1452686
1.75  0.0218619 0.1453079
1.80  0.0218688 0.1453538
1.85  0.0218768 0.1454070
1.90  0.0218860 0.1454684
1.95  0.0218967 0.1455394
2.00  0.0219091 0.1456217
2.05  0.0219236 0.1457181
2.10  0.0219410 0.1458340
2.15  0.0219636 0.1459840
2.20  0.0219818 0.1461049
2.25  0.0219641 0.1459877
2.30  0.0219381 0.1458148
2.35  0.0219069 0.1456071
2.40  0.0218716 0.1453727
2.45  0.0218330 0.1451162
2.50  0.0217915 0.1448402
2.55  0.0217473 0.1445467
2.60  0.0217007 0.1442368
2.65  0.0216518 0.1439114
2.70  0.0216006 0.1435712
2.80  0.0214916 0.1428472
2.90  0.0213741 0.1420661
3.00  0.0212479 0.1412269
3.30  0.0208134 0.1383390
3.50  0.0204725 0.1360736
3.70  0.0200855 0.1335009
3.80  0.0198729 0.1320877
3.90  0.0196464 0.1305827
4.00  0.0194045 0.1289745
