#
#       Helium-4 data from Svensson et al.
#       Svensson, E. C. , Sears, V. F., Woods, A. D. B., and
#       Martel, P. Phys. Rev.  {\bf B21} (1980) 3638
#       T = 1.00 K
#
# k       S(k)
0.0      0.037
0.1      0.051
0.2      0.073
0.3      0.099
0.4      0.123
0.5      0.145
0.6      0.165
0.7      0.184
0.8      0.204
0.9      0.227
1.0      0.256
1.1      0.293
1.2      0.340
1.3      0.399
1.4      0.472
1.5      0.566
1.6      0.695
1.7      0.865
1.8      1.069
1.9      1.263
2.0      1.377
2.05	 1.387
2.1      1.365
2.2      1.290
2.3      1.203
2.4      1.116
2.5      1.061
2.6      1.021
2.7      0.989
2.8      0.965
2.9      0.949
3.0      0.941
3.2      0.942
3.4      0.959
3.6      0.978
3.8      0.997
4.0	 1.012
4.2	 1.018
4.4      1.014
4.6 	 1.005
4.8	 0.995
5.0	 0.988
5.2	 0.985
5.4	 0.986
5.6	 0.989
5.8	 0.992
6.0	 0.995
6.2	 0.997
6.4	 0.999
6.6      1.000
6.8      1.000
